order	folder	vid.no	ek.no	easting	northing	month	day	hour	minute
692	E3(1)	25	44	692983	644219	7	22	8	50
219	B2(3)	25	56	690010	645198	9	20	8	51
601	D4	7	36	691993	643181	8	11	8	51
37	A3(2)	2	12	689007	644158	7	28	8	53
220	B2(3)	26	57	690010	645198	9	20	8	53
292	C3(3)	24	41	690995	644190	8	3	8	54
496	C6(2)	97	139	690977	641224	8	22	8	54
762	E6(2)	1	8	692974	641159	8	19	8	55
819	E6(2)	58	95	692974	641159	9	13	8	56
260	C2(2)	4	44	691012	645186	8	4	8	58
221	B2(3)	27	58	690010	645198	9	20	9	0
36	A3(2)	1	5	689007	644158	7	24	9	1
57	A3(3)	20	37	689007	644158	8	31	9	1
360	C4(2)	9	70	691005	643201	9	14	9	1
293	C3(3)	25	42	690995	644190	8	3	9	2
753	E6(1)	23	63	692974	641159	8	10	9	6
594	D3(2)	26	84	692017	644193	9	20	9	8
232	B3(2)	2	14	690017	644206	8	19	9	12
695	E3(1)	28	55	692983	644219	8	3	9	13
96	A3(3)	59	97	689007	644158	9	18	9	14
369	C6(1)	1	12	690977	641224	7	4	9	14
94	A3(3)	57	95	689007	644158	9	17	9	15
11	A1(2)	10	45	689991	646193	8	25	9	16
433	C6(2)	34	58	690977	641224	8	13	9	17
742	E6(1)	12	32	692974	641159	7	26	9	19
611	D4	17	70	691993	643181	9	20	9	20
445	C6(2)	46	73	690977	641224	8	14	9	21
23	A1(2)	22	69	689991	646193	9	13	9	22
95	A3(3)	58	96	689007	644158	9	17	9	22
415	C6(2)	16	40	690977	641224	8	12	9	22
416	C6(2)	17	41	690977	641224	8	12	9	24
782	E6(2)	21	41	692974	641159	8	30	9	24
607	D4	13	50	691993	643181	8	28	9	25
417	C6(2)	18	42	690977	641224	8	12	9	26
463	C6(2)	64	95	690977	641224	8	16	9	26
529	C6(2)	130	194	690977	641224	9	1	9	26
569	D3(2)	1	4	692017	644193	8	4	9	26
629	D5	17	36	692006	642200	8	14	9	26
114	A4	6	24	688999	643213	8	16	9	29
125	A4	17	41	688999	643213	9	1	9	29
323	C3(3)	55	76	690995	644190	8	13	9	29
84	A3(3)	47	81	689007	644158	9	15	9	30
222	B2(3)	28	59	690010	645198	9	20	9	30
418	C6(2)	19	43	690977	641224	8	12	9	30
745	E6(1)	15	37	692974	641159	7	29	9	30
90	A3(3)	53	89	689007	644158	9	16	9	31
223	B2(3)	29	60	690010	645198	9	20	9	31
434	C6(2)	35	59	690977	641224	8	13	9	32
224	B2(3)	30	61	690010	645198	9	20	9	33
636	D5	24	47	692006	642200	8	20	9	34
79	A3(3)	42	72	689007	644158	9	13	9	37
110	A4	2	15	688999	643213	7	27	9	39
602	D4	8	39	691993	643181	8	13	9	41
689	E3(1)	22	40	692983	644219	7	19	9	43
581	D3(2)	13	40	692017	644193	8	26	9	46
642	D5	30	56	692006	642200	8	26	9	47
101	A3(3)	64	106	689007	644158	9	20	9	50
643	D5	31	57	692006	642200	8	26	9	50
19	A1(2)	18	61	689991	646193	9	9	9	51
446	C6(2)	47	74	690977	641224	8	14	9	52
111	A4	3	17	688999	643213	8	8	9	57
545	C6(2)	146	220	690977	641224	9	6	9	58
80	A3(3)	43	73	689007	644158	9	13	10	0
469	C6(2)	70	104	690977	641224	8	17	10	0
587	D3(2)	19	69	692017	644193	9	15	10	1
233	B3(2)	3	19	690017	644206	8	23	10	2
447	C6(2)	48	75	690977	641224	8	14	10	2
81	A3(3)	44	74	689007	644158	9	13	10	3
249	C1(3)	1	10	690985	646203	9	7	10	3
674	E3(1)	7	15	692983	644219	7	11	10	3
315	C3(3)	47	68	690995	644190	8	10	10	4
590	D3(2)	22	78	692017	644193	9	19	10	4
264	C2(3)	3	10	691012	645186	9	16	10	7
591	D3(2)	23	79	692017	644193	9	19	10	9
352	C4(2)	1	12	691005	643201	8	7	10	11
494	C6(2)	95	136	690977	641224	8	21	10	11
516	C6(2)	117	176	690977	641224	8	28	10	11
620	D5	8	15	692006	642200	7	31	10	12
82	A3(3)	45	75	689007	644158	9	13	10	14
310	C3(3)	42	63	690995	644190	8	9	10	16
604	D4	10	44	691993	643181	8	17	10	17
628	D5	16	34	692006	642200	8	12	10	17
287	C3(3)	19	36	690995	644190	8	2	10	18
799	E6(2)	38	65	692974	641159	9	5	10	18
307	C3(3)	39	60	690995	644190	8	7	10	19
824	E6(2)	63	101	692974	641159	9	14	10	22
243	B4	9	30	690006	643198	8	24	10	23
393	C6(1)	25	53	690977	641224	7	28	10	25
187	B2(2)	44	87	690010	645198	9	7	10	26
672	E3(1)	5	13	692983	644219	7	10	10	26
735	E6(1)	5	19	692974	641159	7	18	10	26
582	D3(2)	14	41	692017	644193	8	26	10	28
67	A3(3)	30	54	689007	644158	9	7	10	34
612	D4	18	71	691993	643181	9	20	10	37
297	C3(3)	29	47	690995	644190	8	4	10	40
506	C6(2)	107	158	690977	641224	8	24	10	41
31	A2	4	19	689012	645186	7	12	10	42
70	A3(3)	33	57	689007	644158	9	9	10	42
522	C6(2)	123	185	690977	641224	8	30	10	43
395	C6(1)	27	62	690977	641224	8	1	10	44
747	E6(1)	17	49	692974	641159	8	2	10	44
419	C6(2)	20	44	690977	641224	8	12	10	45
521	C6(2)	122	181	690977	641224	8	29	10	46
420	C6(2)	21	45	690977	641224	8	12	10	47
675	E3(1)	8	16	692983	644219	7	11	10	48
238	B4	4	8	690006	643198	7	30	10	49
225	B2(3)	31	62	690010	645198	9	20	10	52
775	E6(2)	14	25	692974	641159	8	24	10	54
226	B2(3)	32	63	690010	645198	9	20	10	55
613	D5	1	5	692006	642200	7	19	10	56
379	C6(1)	11	27	690977	641224	7	13	10	57
371	C6(1)	3	14	690977	641224	7	8	11	0
336	C3(4)	3	8	690995	644190	8	31	11	1
502	C6(2)	103	151	690977	641224	8	23	11	1
596	D4	2	11	691993	643181	7	13	11	1
236	B4	2	6	690006	643198	7	28	11	3
614	D5	2	6	692006	642200	7	19	11	3
281	C3(3)	13	26	690995	644190	7	30	11	4
615	D5	3	8	692006	642200	7	21	11	4
337	C3(4)	4	9	690995	644190	8	31	11	6
748	E6(1)	18	50	692974	641159	8	2	11	7
20	A1(2)	19	62	689991	646193	9	9	11	10
136	B1(1)	1	18	689999	646201	7	7	11	10
331	C3(3)	63	87	690995	644190	8	17	11	10
558	C6(2)	159	244	690977	641224	9	11	11	10
574	D3(2)	6	28	692017	644193	8	15	11	10
98	A3(3)	61	102	689007	644158	9	19	11	12
22	A1(2)	21	64	689991	646193	9	10	11	13
24	A1(2)	23	70	689991	646193	9	13	11	13
507	C6(2)	108	159	690977	641224	8	24	11	13
736	E6(1)	6	21	692974	641159	7	19	11	15
411	C6(2)	12	36	690977	641224	8	11	11	18
565	C6(2)	166	257	690977	641224	9	17	11	19
685	E3(1)	18	33	692983	644219	7	17	11	20
61	A3(3)	24	44	689007	644158	9	2	11	21
62	A3(3)	25	45	689007	644158	9	2	11	23
676	E3(1)	9	18	692983	644219	7	12	11	25
733	E6(1)	3	14	692974	641159	7	14	11	25
63	A3(3)	26	46	689007	644158	9	2	11	26
106	A3(3)	69	114	689007	644158	9	21	11	26
247	C1(1)	1	18	690985	646203	7	11	11	27
489	C6(2)	90	129	690977	641224	8	20	11	27
737	E6(1)	7	22	692974	641159	7	20	11	27
285	C3(3)	17	30	690995	644190	7	31	11	28
377	C6(1)	9	22	690977	641224	7	10	11	29
1	A1 (1)	1		689991	646193	7	6	11	32
448	C6(2)	49	76	690977	641224	8	14	11	34
763	E6(2)	2	9	692974	641159	8	19	11	34
764	E6(2)	3	10	692974	641159	8	19	11	35
140	B2(1)	3	23	690010	645198	7	20	11	37
263	C2(3)	2	9	691012	645186	9	12	11	37
680	E3(1)	13	23	692983	644219	7	14	11	37
380	C6(1)	12	28	690977	641224	7	13	11	38
787	E6(2)	26	46	692974	641159	9	1	11	38
694	E3(1)	27	52	692983	644219	7	29	11	39
756	E6(1)	26	71	692974	641159	8	13	11	39
840	E6(2)	79	124	692974	641159	9	21	11	40
696	E3(1)	29	57	692983	644219	8	5	11	42
362	C5(1)	1	8	691003	642214	7	13	11	43
188	B2(2)	45	89	690010	645198	9	7	11	44
788	E6(2)	27	47	692974	641159	9	1	11	44
572	D3(2)	4	24	692017	644193	8	14	11	49
671	E3(1)	4	11	692983	644219	7	9	11	49
435	C6(2)	36	60	690977	641224	8	13	11	50
124	A4	16	40	688999	643213	8	31	11	52
470	C6(2)	71	106	690977	641224	8	17	11	52
573	D3(2)	5	25	692017	644193	8	14	11	53
562	C6(2)	163	252	690977	641224	9	13	11	56
639	D5	27	51	692006	642200	8	24	12	0
670	E3(1)	3	10	692983	644219	7	8	12	0
551	C6(2)	152	227	690977	641224	9	8	12	4
683	E3(1)	16	30	692983	644219	7	16	12	4
524	C6(2)	125	189	690977	641224	8	31	12	5
12	A1(2)	11	46	689991	646193	8	25	12	6
698	E3(1)	31	63	692983	644219	8	9	12	6
627	D5	15	32	692006	642200	8	9	12	7
677	E3(1)	10	19	692983	644219	7	12	12	7
751	E6(1)	21	57	692974	641159	8	5	12	7
525	C6(2)	126	190	690977	641224	8	31	12	10
600	D4	6	27	691993	643181	8	7	12	10
398	C6(1)	30	67	690977	641224	8	3	12	20
749	E6(1)	19	53	692974	641159	8	4	12	20
619	D5	7	14	692006	642200	7	29	12	21
818	E6(2)	57	93	692974	641159	9	12	12	22
210	B2(3)	16	38	690010	645198	9	14	12	24
630	D5	18	38	692006	642200	8	15	12	24
361	C4(2)	10	73	691005	643201	9	15	12	27
183	B2(2)	40	79	690010	645198	9	6	12	28
116	A4	8	29	688999	643213	8	19	12	29
17	A1(2)	16	55	689991	646193	9	4	12	32
275	C3(3)	7	20	690995	644190	7	25	12	33
738	E6(1)	8	23	692974	641159	7	20	12	33
583	D3(2)	15	42	692017	644193	8	28	12	34
650	D5	38	74	692006	642200	9	17	12	36
449	C6(2)	50	77	690977	641224	8	14	12	37
584	D3(2)	16	43	692017	644193	8	28	12	37
385	C6(1)	17	39	690977	641224	7	20	12	39
483	C6(2)	84	123	690977	641224	8	19	12	41
406	C6(2)	7	17	690977	641224	8	9	12	42
184	B2(2)	41	80	690010	645198	9	6	12	48
450	C6(2)	51	78	690977	641224	8	14	12	51
404	C6(2)	5	14	690977	641224	8	7	12	53
555	C6(2)	156	234	690977	641224	9	9	12	53
508	C6(2)	109	160	690977	641224	8	24	12	56
451	C6(2)	52	79	690977	641224	8	14	12	57
229	B3(1)	1	7	690017	644206	7	10	12	58
294	C3(3)	26	43	690995	644190	8	3	13	0
421	C6(2)	22	46	690977	641224	8	12	13	0
47	A3(3)	10	18	689007	644158	8	25	13	2
422	C6(2)	23	47	690977	641224	8	12	13	2
693	E3(1)	26	49	692983	644219	7	26	13	2
541	C6(2)	142	209	690977	641224	9	4	13	3
143	B2(1)	6	42	690010	645198	7	31	13	4
423	C6(2)	24	48	690977	641224	8	12	13	4
586	D3(2)	18	53	692017	644193	9	4	13	4
631	D5	19	39	692006	642200	8	15	13	4
199	B2(3)	5	14	690010	645198	9	11	13	6
424	C6(2)	25	49	690977	641224	8	12	13	6
568	D3(1)	3	31	692017	644193	8	2	13	7
347	C4(1)	2	10	691005	643201	7	9	13	8
686	E3(1)	19	36	692983	644219	7	18	13	9
546	C6(2)	147	222	690977	641224	9	6	13	11
252	C2(1)	1	755	691012	645186	6	30	13	12
820	E6(2)	59	97	692974	641159	9	13	13	17
83	A3(3)	46	76	689007	644158	9	13	13	19
129	A4	21	45	688999	643213	9	8	13	19
821	E6(2)	60	98	692974	641159	9	13	13	19
458	C6(2)	59	88	690977	641224	8	15	13	20
644	D5	32	58	692006	642200	8	26	13	20
346	C4(1)	1	7	691005	643201	7	3	13	24
363	C5(2)	1	6	691003	642214	8	2	13	24
579	D3(2)	11	35	692017	644193	8	23	13	24
288	C3(3)	20	37	690995	644190	8	2	13	25
739	E6(1)	9	24	692974	641159	7	20	13	25
320	C3(3)	52	73	690995	644190	8	11	13	26
575	D3(2)	7	29	692017	644193	8	15	13	27
55	A3(3)	18	29	689007	644158	8	29	13	28
681	E3(1)	14	25	692983	644219	7	15	13	29
825	E6(2)	64	102	692974	641159	9	14	13	29
682	E3(1)	15	26	692983	644219	7	15	13	33
690	E3(1)	23	42	692983	644219	7	20	13	33
548	C6(2)	149	224	690977	641224	9	7	13	34
684	E3(1)	17	31	692983	644219	7	16	13	36
464	C6(2)	65	96	690977	641224	8	16	13	38
242	B4	8	29	690006	643198	8	23	13	39
389	C6(1)	21	47	690977	641224	7	25	13	39
691	E3(1)	24	43	692983	644219	7	20	13	39
484	C6(2)	85	124	690977	641224	8	19	13	41
56	A3(3)	19	32	689007	644158	8	29	13	42
485	C6(2)	86	125	690977	641224	8	19	13	42
632	D5	20	40	692006	642200	8	15	13	45
649	D5	37	71	692006	642200	9	12	13	47
200	B2(3)	6	16	690010	645198	9	11	13	53
121	A4	13	35	688999	643213	8	28	13	54
144	B2(2)	1	6	690010	645198	8	19	13	54
145	B2(2)	2	7	690010	645198	8	19	13	55
559	C6(2)	160	248	690977	641224	9	12	13	58
792	E6(2)	31	54	692974	641159	9	4	14	0
557	C6(2)	158	236	690977	641224	9	10	14	4
370	C6(1)	2	13	690977	641224	7	7	14	5
8	A1(2)	7	38	689991	646193	8	22	14	6
746	E6(1)	16	47	692974	641159	7	31	14	6
761	E6(1)	31	85	692974	641159	8	16	14	7
301	C3(3)	33	52	690995	644190	8	5	14	11
757	E6(1)	27	77	692974	641159	8	14	14	12
99	A3(3)	62	103	689007	644158	9	19	14	15
266	C3(2)	1	8	690995	644190	7	12	14	15
471	C6(2)	72	107	690977	641224	8	17	14	15
486	C6(2)	87	126	690977	641224	8	19	14	15
234	B3(2)	4	26	690017	644206	9	8	14	19
532	C6(2)	133	198	690977	641224	9	2	14	20
832	E6(2)	71	114	692974	641159	9	18	14	20
533	C6(2)	134	199	690977	641224	9	2	14	23
544	C6(2)	145	215	690977	641224	9	5	14	23
517	C6(2)	118	177	690977	641224	8	28	14	24
268	C3(2)	3	14	690995	644190	7	15	14	26
534	C6(2)	135	200	690977	641224	9	2	14	26
308	C3(3)	40	61	690995	644190	8	8	14	27
668	E3(1)	1	7	692983	644219	7	7	14	28
833	E6(2)	72	115	692974	641159	9	18	14	32
542	C6(2)	143	210	690977	641224	9	4	14	33
732	E6(1)	2	13	692974	641159	7	13	14	33
633	D5	21	41	692006	642200	8	15	14	36
367	C5(2)	5	15	691003	642214	8	24	14	37
150	B2(2)	7	18	690010	645198	8	23	14	38
334	C3(4)	1	5	690995	644190	8	21	14	38
146	B2(2)	3	9	690010	645198	8	20	14	39
298	C3(3)	30	48	690995	644190	8	4	14	39
16	A1(2)	15	54	689991	646193	9	3	14	43
436	C6(2)	37	61	690977	641224	8	13	14	43
215	B2(3)	21	52	690010	645198	9	19	14	44
437	C6(2)	38	62	690977	641224	8	13	14	45
438	C6(2)	39	63	690977	641224	8	13	14	46
503	C6(2)	104	155	690977	641224	8	23	14	46
216	B2(3)	22	53	690010	645198	9	19	14	47
97	A3(3)	60	98	689007	644158	9	18	14	50
151	B2(2)	8	23	690010	645198	8	23	14	51
452	C6(2)	53	80	690977	641224	8	14	14	51
85	A3(3)	48	82	689007	644158	9	15	14	52
309	C3(3)	41	62	690995	644190	8	8	14	52
453	C6(2)	54	81	690977	641224	8	14	14	52
800	E6(2)	39	68	692974	641159	9	6	14	53
504	C6(2)	105	156	690977	641224	8	23	14	57
564	C6(2)	165	256	690977	641224	9	16	14	57
595	D4	1	10	691993	643181	7	5	15	1
497	C6(2)	98	142	690977	641224	8	22	15	3
678	E3(1)	11	21	692983	644219	7	12	15	3
802	E6(2)	41	72	692974	641159	9	7	15	3
192	B2(2)	49	95	690010	645198	9	8	15	5
510	C6(2)	111	164	690977	641224	8	25	15	6
58	A3(3)	21	38	689007	644158	8	31	15	8
60	A3(3)	23	41	689007	644158	9	1	15	8
137	B1(2)	1	12	689999	646201	8	31	15	8
52	A3(3)	15	23	689007	644158	8	27	15	9
59	A3(3)	22	39	689007	644158	8	31	15	10
48	A3(3)	11	19	689007	644158	8	25	15	11
147	B2(2)	4	10	690010	645198	8	20	15	12
134	A4	26	51	688999	643213	9	12	15	13
148	B2(2)	5	11	690010	645198	8	20	15	14
744	E6(1)	14	34	692974	641159	7	28	15	18
311	C3(3)	43	64	690995	644190	8	9	15	19
505	C6(2)	106	157	690977	641224	8	23	15	23
324	C3(3)	56	77	690995	644190	8	13	15	24
789	E6(2)	28	48	692974	641159	9	1	15	24
